iter	Passed	Remaining
0	15	15922
1	23	11539
2	38	12688
3	44	11122
4	51	10231
5	58	9670
6	63	9018
7	69	8671
8	82	9096
9	87	8643
10	93	8443
11	100	8256
12	106	8112
13	113	8003
14	119	7856
15	133	8212
16	140	8116
17	146	7998
18	153	7902
19	159	7831
20	164	7674
21	178	7945
22	186	7911
23	192	7833
24	198	7740
25	212	7974
26	219	7925
27	226	7859
28	233	7801
29	239	7744
30	245	7675
31	260	7876
32	267	7844
33	274	7788
34	280	7724
35	286	7678
36	293	7643
37	308	7798
38	315	7770
39	321	7722
40	336	7882
41	343	7831
42	351	7819
43	358	7781
44	366	7784
45	374	7771
46	389	7899
47	398	7894
48	405	7871
49	414	7881
50	428	7969
51	435	7941
52	439	7851
53	454	7959
54	463	7962
55	471	7949
56	483	7997
57	491	7975
58	498	7950
59	505	7913
60	520	8009
61	527	7975
62	533	7936
63	540	7905
64	547	7873
65	553	7839
66	569	7926
67	575	7894
68	582	7864
69	589	7830
70	596	7800
71	602	7769
72	617	7845
73	624	7815
74	630	7782
75	637	7753
76	644	7726
77	651	7702
78	665	7758
79	672	7732
80	679	7705
81	692	7756
82	700	7740
83	707	7714
84	713	7683
85	720	7655
86	726	7628
87	735	7621
88	742	7600
89	756	7649
90	764	7640
91	771	7618
92	778	7593
93	795	7664
94	805	7675
95	817	7702
96	830	7728
97	837	7712
98	845	7691
99	852	7671
100	859	7649
101	875	7708
102	883	7691
103	890	7674
104	898	7657
105	905	7633
106	920	7678
107	928	7667
108	935	7645
109	941	7619
110	955	7655
111	962	7633
112	969	7608
113	976	7585
114	982	7559
115	988	7532
116	995	7514
117	1002	7491
118	1016	7526
119	1023	7508
120	1030	7486
121	1037	7467
122	1053	7508
123	1060	7493
124	1065	7456
125	1071	7435
126	1078	7414
127	1085	7392
128	1100	7432
129	1109	7422
130	1115	7401
131	1130	7434
132	1138	7422
133	1145	7403
134	1152	7386
135	1159	7368
136	1166	7345
137	1181	7378
138	1188	7362
139	1195	7341
140	1202	7323
141	1208	7304
142	1215	7286
143	1229	7309
144	1236	7291
145	1243	7271
146	1250	7254
147	1256	7234
148	1262	7213
149	1277	7240
150	1284	7220
151	1290	7199
152	1296	7179
153	1303	7160
154	1309	7139
155	1323	7160
156	1330	7144
157	1336	7123
158	1343	7106
159	1357	7128
160	1364	7110
161	1370	7090
162	1376	7070
163	1384	7056
164	1392	7047
165	1406	7065
166	1413	7049
167	1420	7032
168	1426	7016
169	1433	6998
170	1439	6981
171	1454	7000
172	1462	6990
173	1469	6974
174	1482	6987
175	1491	6984
176	1499	6972
177	1506	6958
178	1513	6942
179	1519	6923
180	1534	6942
181	1541	6927
182	1547	6909
183	1554	6892
184	1560	6875
185	1566	6857
186	1581	6875
187	1588	6860
188	1594	6843
189	1601	6826
190	1607	6809
191	1613	6791
192	1627	6804
193	1634	6791
194	1640	6773
195	1647	6756
196	1661	6772
197	1668	6757
198	1674	6739
199	1680	6722
200	1687	6707
201	1693	6691
202	1706	6701
203	1713	6685
204	1719	6669
205	1726	6653
206	1732	6638
207	1739	6622
208	1745	6606
209	1760	6622
210	1766	6606
211	1773	6590
212	1779	6574
213	1785	6559
214	1792	6544
215	1806	6556
216	1813	6542
217	1819	6525
218	1825	6510
219	1840	6524
220	1846	6509
221	1852	6492
222	1858	6476
223	1865	6461
224	1871	6446
225	1885	6456
226	1892	6445
227	1898	6429
228	1904	6413
229	1911	6398
230	1917	6383
231	1927	6379
232	1937	6378
233	1944	6364
234	1950	6349
235	1956	6335
236	1962	6319
237	1969	6305
238	1984	6319
239	1991	6307
240	1998	6293
241	2005	6281
242	2012	6270
243	2021	6263
244	2028	6251
245	2035	6238
246	2042	6225
247	2048	6212
248	2063	6222
249	2070	6210
250	2077	6199
251	2083	6185
252	2091	6174
253	2097	6160
254	2111	6169
255	2118	6156
256	2124	6140
257	2129	6125
258	2136	6112
259	2142	6098
260	2149	6085
261	2162	6091
262	2169	6079
263	2176	6068
264	2192	6080
265	2199	6069
266	2206	6056
267	2219	6063
268	2228	6054
269	2234	6041
270	2240	6027
271	2247	6015
272	2253	6002
273	2260	5988
274	2266	5975
275	2272	5962
276	2286	5967
277	2294	5957
278	2300	5944
279	2306	5930
280	2320	5936
281	2327	5925
282	2333	5911
283	2339	5897
284	2346	5886
285	2352	5872
286	2364	5873
287	2372	5866
288	2379	5854
289	2385	5840
290	2392	5828
291	2398	5816
292	2405	5803
293	2420	5811
294	2427	5800
295	2433	5788
296	2441	5777
297	2447	5765
298	2455	5756
299	2468	5759
300	2475	5749
301	2482	5736
302	2495	5740
303	2503	5730
304	2509	5717
305	2515	5704
306	2522	5694
307	2529	5682
308	2535	5670
309	2541	5657
310	2547	5644
311	2562	5649
312	2568	5638
313	2575	5625
314	2582	5615
315	2595	5618
316	2602	5606
317	2608	5594
318	2615	5582
319	2621	5570
320	2627	5557
321	2641	5562
322	2648	5551
323	2654	5538
324	2660	5526
325	2674	5530
326	2681	5518
327	2687	5506
328	2694	5494
